"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"SBIN","EQ","02-Feb-2018","        306.05","        302.90","        305.75","        295.50","        295.80","        297.35","        300.07","   23274673","          6984012072.30","     156709"
"SBIN","EQ","05-Feb-2018","        297.35","        292.65","        300.40","        290.00","        299.00","        298.05","        295.64","   18940578","          5599667758.65","     134857"
"SBIN","EQ","06-Feb-2018","        298.05","        285.00","        297.30","        282.90","        294.60","        291.75","        289.73","   30577218","          8859222865.85","     241764"
"SBIN","EQ","07-Feb-2018","        291.75","        296.60","        297.90","        290.00","        292.10","        292.80","        293.38","   21463818","          6297080225.25","     161931"
"SBIN","EQ","08-Feb-2018","        292.80","        292.90","        303.30","        292.55","        302.25","        301.40","        298.60","   18932796","          5653382508.90","     125388"
"SBIN","EQ","09-Feb-2018","        301.40","        297.00","        300.60","        295.00","        295.40","        296.40","        297.71","   15750824","          4689107088.20","     116844"
"SBIN","EQ","12-Feb-2018","        296.40","        288.25","        292.40","        285.15","        290.10","        288.75","        289.30","   50839665","         14707862290.45","     317117"
"SBIN","EQ","14-Feb-2018","        288.75","        288.70","        288.70","        275.00","        275.50","        276.20","        280.99","   45641149","         12824620930.90","     327073"
"SBIN","EQ","15-Feb-2018","        276.20","        274.80","        282.30","        274.25","        279.10","        278.70","        279.14","   26058237","          7273787833.80","     174992"
"SBIN","EQ","16-Feb-2018","        278.70","        280.50","        281.20","        270.05","        271.40","        271.65","        273.95","   30338112","          8310986402.20","     246246"
"SBIN","EQ","19-Feb-2018","        271.65","        271.50","        272.00","        256.65","        269.60","        268.50","        263.87","   43847791","         11570187946.80","     298814"
"SBIN","EQ","20-Feb-2018","        268.50","        269.00","        274.20","        264.80","        269.50","        269.65","        269.54","   33458021","          9018342750.35","     183760"
"SBIN","EQ","21-Feb-2018","        269.65","        272.20","        274.10","        267.40","        273.15","        273.30","        271.18","   23714454","          6430819672.40","     146297"
"SBIN","EQ","22-Feb-2018","        273.30","        270.40","        273.60","        269.45","        272.50","        272.60","        272.38","   25584062","          6968689323.55","     127523"
"SBIN","EQ","23-Feb-2018","        272.60","        273.45","        277.20","        272.50","        276.40","        276.05","        275.60","   15482147","          4266815890.25","     125599"
"SBIN","EQ","26-Feb-2018","        276.05","        280.00","        280.00","        273.85","        274.30","        274.45","        275.75","   15306032","          4220575082.30","     112427"
"SBIN","EQ","27-Feb-2018","        274.45","        273.00","        275.90","        265.95","        267.70","        267.60","        269.55","   20824909","          5613362241.75","     153426"
"SBIN","EQ","28-Feb-2018","        267.60","        264.25","        269.70","        260.80","        267.95","        268.00","        266.14","   26810799","          7135336059.85","     185589"
"SBIN","EQ","01-Mar-2018","        268.00","        266.30","        270.00","        261.25","        262.20","        262.15","        264.62","   22859175","          6049016897.40","     173004"
"SBIN","EQ","05-Mar-2018","        262.15","        260.45","        265.00","        258.75","        263.15","        263.50","        262.51","   18484565","          4852294099.45","     146913"
"SBIN","EQ","06-Mar-2018","        263.50","        265.85","        266.00","        255.00","        255.35","        256.55","        261.43","   20778164","          5431995774.80","     147230"
"SBIN","EQ","07-Mar-2018","        256.55","        255.05","        255.35","        246.05","        246.70","        246.65","        248.97","   31262500","          7783271191.95","     180424"
"SBIN","EQ","08-Mar-2018","        246.65","        247.00","        257.95","        244.30","        256.65","        256.80","        251.48","   33133336","          8332437261.75","     171219"
"SBIN","EQ","09-Mar-2018","        256.80","        257.00","        257.40","        251.65","        253.65","        253.25","        253.89","   21536191","          5467877285.85","     131269"
"SBIN","EQ","12-Mar-2018","        253.25","        254.10","        255.25","        247.25","        253.55","        252.85","        250.26","   25332474","          6339809854.50","     131673"
